Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
10564,Chhattisgarh,Construction of common work sheds/ common covered sitting area,WS/MP429/2025-2026/208964,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,19-May-26,CEO JP Pali sansad mad 18th,Payment Success,199948
10565,Chhattisgarh,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP429/2025-2026/246857,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,19-May-26,CEO JP Pali sansad mad 18th,Payment Success,149735
10566,Chhattisgarh,Construction of additional rooms and halls in the existing public and community building,WS/MP429/2024-2025/156835,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,27-May-26,CEO JP Pali sansad mad 18th,Payment Success,149975
10567,Chhattisgarh,Construction of buildings for community cultural activities,WS/MP429/2024-2025/155511,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,08-Apr-26,CEO JP Pali sansad mad 18th,Payment Success,74770
10568,Chhattisgarh,Construction of footpaths and pedestrian ways,WS/MP429/2024-2025/155510,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,08-Apr-26,CEO JP Pali sansad mad 18th,Payment Success,99861
10569,Chhattisgarh,Installing hand pumps,WS/MP429/2024-2025/151718,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,07-Apr-26,CEO JP Pali sansad mad 18th,Payment Success,49675
10570,Chhattisgarh,Construction of common work sheds/ common covered sitting area,WS/MP429/2024-2025/156840,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,22-Jun-26,CEO JP Pali sansad mad 18th,Payment Success,200000
10571,Chhattisgarh,Construction of community centers and community halls,WS/MP429/2025-2026/193676,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,22-Jun-26,CEO JP Pali sansad mad 18th,Payment Success,100000
10572,Chhattisgarh,Construction of common work sheds/ common covered sitting area,WS/MP429/2026-2027/275080,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,22-Jun-26,CEO JP Pali sansad mad 18th,Payment Success,75000
10573,Chhattisgarh,Construction of common work sheds/ common covered sitting area,WS/MP429/2026-2027/270253,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,15-May-26,CEO JP Pali sansad mad 18th,Payment Success,250000
10574,Chhattisgarh,Construction of common work sheds/ common covered sitting area,WS/MP429/2026-2027/275082,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,20-May-26,CEO JP Pali sansad mad 18th,Payment Success,150000
10575,Chhattisgarh,Installing hand pumps,WS/MP429/2024-2025/155508,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,21-Apr-26,CEO JP Pali sansad mad 18th,Payment Success,86344
10576,Chhattisgarh,Construction of community centers and community halls,WS/MP429/2025-2026/198903,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,24-Apr-26,CEO JP Pali sansad mad 18th,Payment Success,175000
10577,Chhattisgarh,Construction of buildings for community cultural activities,WS/MP429/2025-2026/198905,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,07-Aug-26,CEO JP Pali sansad mad 18th,Payment Success,175000
10578,Punjab,Providing drains and gutters for public drainage,WS/MP380/2025-2026/199117,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),11-Mar-26,Babaljeet  Majri New,Payment Success,18756
10579,Rajasthan,Development of playground,WS/MP18163/2025-2026/257565,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),MURARI LAL MEENA,DAUSA(ST),11-Jun-26,narendra and company,Payment Success,195043
10580,Rajasthan,Development of playground,WS/MP18163/2025-2026/257565,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),MURARI LAL MEENA,DAUSA(ST),08-Apr-26,narendra and company,Payment Success,797842
10581,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18324/2025-2026/219923,AMRELI(DISTRICT COLLECTOR AMRELI_IDA),BHARATBHAI MANUBHAI SUTARIYA,AMRELI,27-Mar-26,GRAM PANCHAYAT NAVA VAGHANIYA,Payment Success,298100
10582,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18324/2025-2026/151490,AMRELI(DISTRICT COLLECTOR AMRELI_IDA),BHARATBHAI MANUBHAI SUTARIYA,AMRELI,11-Mar-26,GRAM PANCHAYAT NAVA VAGHANIYA,Payment Success,297100
10583,Uttarakhand,Construction of public libraries and reading rooms,WS/MP021/2025-2026/242742,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,11-Mar-26,deepak singh,Payment Success,13650
10584,Uttarakhand,Construction of public libraries and reading rooms,WS/MP021/2025-2026/242742,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,11-Mar-26,harish singh,Payment Success,13650
10585,Uttarakhand,Construction of public libraries and reading rooms,WS/MP021/2025-2026/242742,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,11-Mar-26,mohan singh,Payment Success,13650
10586,Uttarakhand,Construction of public libraries and reading rooms,WS/MP021/2025-2026/242742,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,11-Mar-26,manju nayal,Payment Success,7560
10587,Uttarakhand,Construction of public libraries and reading rooms,WS/MP021/2025-2026/242742,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,11-Mar-26,ganga devi,Payment Success,7812
10588,Himachal Pradesh,Providing CCTV camera system for security of public areas,WS/MP18069/2025-2026/275266,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,07-Apr-26,Managing Director HPSEDC,Payment Success,249999
10589,Himachal Pradesh,Providing CCTV camera system for security of public areas,WS/MP18069/2025-2026/270358,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),RAJEEV BHARDWAJ,KANGRA,19-Mar-26,Managing Director HPSEDC,Payment Success,1082240
10590,Uttarakhand,Construction of public libraries and reading rooms,WS/MP021/2025-2026/242742,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,11-Mar-26,manju devi,Payment Success,7560
10591,Uttarakhand,Construction of public libraries and reading rooms,WS/MP021/2025-2026/242742,NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,11-Mar-26,puspa nayal,Payment Success,7560
10592,Maharashtra,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP18127/2026-2027/274234,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),RAJABHAU,NASHIK,02-Jul-26,GOKUL VASANT ILAG,Payment Success,949700
10593,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18127/2026-2027/274233,NASHIK(DISTRICT COLLECTOR NASHIK_IDA),RAJABHAU,NASHIK,02-Jul-26,GOKUL VASANT ILAG,Payment Success,941382
10594,Chhattisgarh,Construction of common work sheds/ common covered sitting area,WS/MP429/2025-2026/260207,Gaurela-Pendra-Marwahi(Collector GPM_IDA),Jyotsna Charandas Mahant,KORBA,23-Mar-26,SARPANCH SACHIV GP KUDKAI,Payment Success,160000
10595,Punjab,Construction of culverts and bridges,WS/MP18155/2025-2026/218102,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),12-Mar-26,MS Patial Bricks,Payment Success,32003
10596,Punjab,Construction of night shelters for homeless,WS/MP18155/2025-2026/250125,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),23-Jun-26,MS Patial Bricks,Payment Success,32000
10597,Punjab,Construction of night shelters for homeless,WS/MP18155/2025-2026/250125,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),23-Jun-26,MS Patial Bricks,Payment Success,32000
10598,Punjab,Providing drains and gutters for public drainage,WS/MP18155/2025-2026/228789,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),27-Jul-26,MS Patial Bricks,Payment Success,32000
10599,Rajasthan,Construction of community centers and community halls,WS/MP386/2025-2026/243827,Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA),Shri Hanuman Beniwal,NAGAUR,13-Apr-26,NATIONAL CONSTRUCTION COMPANY,Payment Success,533100
10600,Telangana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18189/2025-2026/184785,KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA),RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,16-Apr-26,Guguloth Rambabu,Payment Success,398073
10601,Tamil Nadu,Construction of boundary walls of existing public and community buildings,WS/MP18394/2025-2026/209303,NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA),V S Matheswaran,NAMAKKAL,12-Mar-26,K RAMASAMY,Payment Success,599950
10602,Maharashtra,Construction of public libraries and reading rooms,WS/MP18119/2025-2026/163436,CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),DR. KIRSAN NAMDEO,GADCHIROLI-CHIMUR(ST),24-Mar-26,GRAM PANCHYAT MANGLI,Payment Success,1404544
10603,Jammu And Kashmir,Construction of community centers and community halls,WS/MP331/2025-2026/193856,JAMMU(DEPUTY COMMISSIONER JAMMU_IDA),Shri Jugal Kishore Sharma,JAMMU,25-Mar-26,Rekha Rani,Payment Success,451500
10604,Jammu And Kashmir,Construction of community centers and community halls,WS/MP331/2025-2026/193856,JAMMU(DEPUTY COMMISSIONER JAMMU_IDA),Shri Jugal Kishore Sharma,JAMMU,14-Aug-26,Rekha Rani,Payment Success,447200
10605,Andhra Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP526/2025-2026/259208,Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA),Y S Avinash Reddy,KADAPA,11-Mar-26,B CHANDRA OBUL REDDY,Payment Success,998110
10606,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18124/2025-2026/226161,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,20-Mar-26,Pushkar sahakari majoor sanstha maryadit,Payment Success,1748671
10607,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18124/2025-2026/226197,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,20-Mar-26,Pushkar sahakari majoor sanstha maryadit,Payment Success,799392
10608,Gujarat,Construction of boundary walls of existing public and community buildings,WS/MP18320/2025-2026/215409,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),GENIBEN NAGAJI THAKOR,BANASKANTHA,12-Mar-26,RANAWAS GRAM PANCHAYAT,Payment Success,300000
10609,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18124/2025-2026/226155,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,20-Mar-26,Shyam co operative labour society ltd,Payment Success,1798633
10610,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP484/2024-2025/155352,KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA),Mala Roy,KOLKATA DAKSHIN,18-Mar-26,TARA MAA ENTERPRISE,Payment Success,1690116
10611,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18124/2025-2026/226193,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,20-Mar-26,Ashok Construction Co,Payment Success,1998481
10612,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18034/2025-2026/221973,VAISHALI(DISTRICT PLANNING OFFICER VAISHALI_IDA),CHIRAG PASWAN,HAJIPUR(SC),12-Mar-26,Abhishek Kumar,Payment Success,988684
10613,Maharashtra,Street lights,WS/MP18327/2025-2026/137670,SOLAPUR(DISTRICT COLLECTOR SOLAPUR_IDA),PRANITI SUSHILKUMAR SHINDE,SOLAPUR(SC),12-Mar-26,RP ELECTRICALS,Payment Success,498751
10614,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18048/2025-2026/200466,BASTAR(DISTRICT COLLECTOR BASTAR_IDA),MAHESH KASHYAP,BASTAR(ST),24-Mar-26,SARPANCH SACHIV G P DHURGUDA,Payment Success,350000
10615,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18115/2026-2027/186414,BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA),DR. PRASHANT YADAORAO PADOLE,BHANDARA-GONDIYA,11-Apr-26,GRAM PANCHAYAT KHOKARLA,Payment Success,694967
10616,Punjab,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,WS/MP716/2025-2026/226774,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),Smt Harsimrat Kaur Badal,BHATINDA,12-Mar-26,GURU GOBIND SINGH STEEL WORKS,Payment Success,265028
10617,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP716/2025-2026/226775,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),Smt Harsimrat Kaur Badal,BHATINDA,12-Mar-26,GURU GOBIND SINGH STEEL WORKS,Payment Success,255234
10618,Assam,Construction of boundary walls of existing public and community buildings,WS/MP18021/2025-2026/267294,GOALPARA(Deputy Commissioner Goalpara_IDA),RAKIBUL HUSSAIN,DHUBRI,11-Mar-26,Batabari Ambari Markula,Payment Success,300000
10619,Assam,Construction of community centers and community halls,WS/MP18021/2025-2026/267292,GOALPARA(Deputy Commissioner Goalpara_IDA),RAKIBUL HUSSAIN,DHUBRI,11-Mar-26,Nayapara Anchalik,Payment Success,300000
10620,Assam,Construction of community centers and community halls,WS/MP18021/2025-2026/267292,GOALPARA(Deputy Commissioner Goalpara_IDA),RAKIBUL HUSSAIN,DHUBRI,04-Jul-26,Nayapara Anchalik,Payment Success,200000
10621,Uttarakhand,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",WS/MP021/2025-2026/227788,Udham Singh Nagar(DISTRICT MAGISTRATE UDHAMSINGH NAGAR_IDA),Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,20-Jul-26,DEV ENTERPRISES,Payment Success,498800
10622,Gujarat,Construction of boundary walls of existing public and community buildings,WS/MP18320/2025-2026/231686,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),GENIBEN NAGAJI THAKOR,BANASKANTHA,11-Mar-26,VATAM JUNA GRAM PANCHAYAT VATAM JUNA,Payment Success,300000
10623,Punjab,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP380/2025-2026/244812,FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),18-Mar-26,BAJWA AIRCON SERVICES,Payment Success,115000
10624,Punjab,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP380/2025-2026/244813,FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),17-Mar-26,BAJWA AIRCON SERVICES,Payment Success,115000
10625,Gujarat,Construction of common work sheds/ common covered sitting area,WS/MP18320/2025-2026/231617,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),GENIBEN NAGAJI THAKOR,BANASKANTHA,11-Mar-26,KUVARVA GRAM PANCHAYAT,Payment Success,300000
10626,Maharashtra,Construction of community centers and community halls,WS/MP18429/2025-2026/227019,NANDED(DISTRICT COLLECTOR NANDED_IDA),Ravindra Vasantrao Chavan,NANDED,10-Mar-26,GRAM PANCHAYAT KARYALAYA SONKHED LOHA NANDED,Payment Success,497913
